ticker,date,period_ending,estimate,reported,surprise,surprise%
A,17-AUG-21,Jul 2021,0.99,1.1,0.11,11.11
AA,15-JUL-21,Jun 2021,1.35,1.49,0.14,10.37
AAL,22-JUL-21,Jun 2021,-1.8,-1.69,0.11,6.11
AAN,27-JUL-21,Jun 2021,0.64,1.05,0.41,64.06
AAON,05-AUG-21,Jun 2021,0.33,0.38,0.05,15.15
AAP,24-AUG-21,Jun 2021,2.95,3.4,0.45,15.25
AAPL,27-JUL-21,Jun 2021,1.0,1.3,0.3,30.0
AAT,27-JUL-21,Jun 2021,0.43,0.51,0.08,18.6
AAWW,05-AUG-21,Jun 2021,3.15,4.1,0.95,30.16
ABBV,30-JUL-21,Jun 2021,3.11,3.11,0.0,0.0
ABC,04-AUG-21,Jun 2021,2.01,2.16,0.15,7.46
ABCB,22-JUL-21,Jun 2021,1.21,1.25,0.04,3.31
ABG,27-JUL-21,Jun 2021,5.3,7.78,2.48,46.79
ABM,08-SEP-21,Jul 2021,0.8,0.9,0.1,12.5
ABMD,04-AUG-21,Jun 2021,1.06,1.1,0.04,3.77
ABR,30-JUL-21,Jun 2021,0.36,0.45,0.09,25.0
ABT,22-JUL-21,Jun 2021,1.01,1.17,0.16,15.84
ABTX,29-JUL-21,Jun 2021,0.93,1.12,0.19,20.43
ABUS,05-AUG-21,Jun 2021,-0.21,-0.23,-0.02,-9.52
ACA,04-AUG-21,Jun 2021,0.56,0.6,0.04,7.14
ACAD,04-AUG-21,Jun 2021,-0.3,-0.27,0.03,10.0
ACC,26-JUL-21,Jun 2021,0.37,0.42,0.05,13.51
ACCD,08-JUL-21,May 2021,-0.32,-0.39,-0.07,-21.88
ACCO,28-JUL-21,Jun 2021,0.27,0.43,0.16,59.26
ACEL,04-AUG-21,Jun 2021,0.22,0.27,0.05,22.73
ACET,12-AUG-21,Jun 2021,-0.51,-0.34,0.17,33.33
ACGL,28-JUL-21,Jun 2021,0.9,1.0,0.1,11.11
ACHC,02-AUG-21,Jun 2021,0.63,0.71,0.08,12.7
